LVDT,,Force
0.00429287,,1.2646233
0.00406493,,1.27189125
0.00406493,,1.28642715
0.00406493,,1.30096305
0.0041789,,1.308231
0.00429287,,1.34457075
0.00440684,,1.31549895
0.0041789,,1.3227669
0.00429287,,1.3373028
0.00452081,,1.36879725
0.00429287,,1.3906011
0.0041789,,1.39786905
0.00395096,,1.39786905
0.00440684,,1.42694085
0.0041789,,1.39786905
0.00452081,,1.41240495
0.00474875,,1.41240495
0.00452081,,1.4196729
0.00440684,,1.4487447
0.00463478,,1.44147675
0.00452081,,1.4487447
0.00452081,,1.47054855
0.00463478,,1.4632806
0.00463478,,1.4923524
0.00474875,,1.50931095
0.00474875,,1.5165789
0.00486272,,1.5311148
0.00486272,,1.5311148
0.00474875,,1.5747225
0.00497669,,1.5892584
0.00497669,,1.6183302
0.00509066,,1.59652635
0.0053186,,1.6183302
0.00543257,,1.6183302
0.00554654,,1.6570926
0.00543257,,1.6570926
0.00554654,,1.6861644
0.0056985,,1.7007003
0.00554654,,1.7152362
0.0056985,,1.7297721
0.00554654,,1.7588439
0.00543257,,1.76611185
0.00554654,,1.76611185
0.00543257,,1.7733798
0.00592644,,1.7976063
0.00554654,,1.7976063
0.00554654,,1.80487425
0.0056985,,1.841214
0.00592644,,1.83394605
0.00592644,,1.8266781
0.00581247,,1.86301785
0.00554654,,1.87755375
0.0056985,,1.8848217
0.00592644,,1.8993576
0.00604041,,1.92116145
0.00615438,,1.94538795
0.00626835,,1.9526559
0.00626835,,1.95992385
0.00638232,,1.9671918
0.00638232,,1.97445975
0.00649629,,1.98899565
0.00649629,,1.98899565
0.00661026,,2.0107995
0.00672423,,2.00353155
0.00672423,,1.98899565
0.0068382,,2.04713925
0.00649629,,2.03260335
0.00626835,,2.0398713
0.00661026,,2.04713925
0.00649629,,2.0544072
0.00638232,,2.06167515
0.0068382,,2.10043755
0.00649629,,2.08590165
0.00661026,,2.0931696
0.00649629,,2.10043755
0.00661026,,2.08590165
0.00649629,,2.1077055
0.00661026,,2.10043755
0.00672423,,2.08590165
0.00661026,,2.08590165
0.00661026,,2.08590165
0.0068382,,2.08590165
0.00695217,,2.0786337
0.00706614,,2.1077055
0.00695217,,2.11497345
0.00718011,,2.1222414
0.00706614,,2.11497345
